Date,Price
2022-11-17,100.0
2022-11-22,100.01
2022-11-23,100.09
2022-11-24,100.28
2022-11-25,99.96
2022-11-28,99.84
2022-11-29,100.04
2022-11-30,99.98
2022-12-01,100.32
2022-12-02,100.4
2022-12-05,100.54
2022-12-06,100.58
2022-12-07,100.91
2022-12-08,100.54
2022-12-09,100.14
2022-12-12,100.27
2022-12-13,100.16
2022-12-14,99.94
2022-12-15,98.1
2022-12-16,97.52
2022-12-19,96.92
2022-12-20,96.69
2022-12-21,96.83
2022-12-22,96.45
2022-12-23,96.45
2022-12-27,96.3
2022-12-28,96.17
2022-12-29,95.95
2022-12-30,95.7
2023-01-02,96.49
2023-01-03,96.74
2023-01-04,97.0
2023-01-05,96.73
2023-01-06,96.65
2023-01-09,96.59
2023-01-10,96.75
2023-01-11,97.09
2023-01-12,97.18
2023-01-13,97.12
2023-01-16,96.98
2023-01-17,97.5
2023-01-18,97.74
2023-01-19,97.71
2023-01-20,97.29
2023-01-23,97.16
2023-01-24,97.24
2023-01-25,97.4
2023-01-26,97.38
2023-01-27,97.42
2023-01-30,97.15
2023-01-31,97.25
2023-02-01,97.44
2023-02-02,98.39
2023-02-03,98.35
2023-02-06,97.28
2023-02-07,97.14
2023-02-08,97.15
2023-02-09,97.65
2023-02-10,97.69
2023-02-13,97.96
2023-02-14,97.84
2023-02-15,97.7
2023-02-16,97.85
2023-02-17,97.62
2023-02-20,97.58
2023-02-21,97.35
2023-02-22,97.13
2023-02-23,97.01
2023-02-24,96.78
2023-02-27,96.82
2023-02-28,96.67
2023-03-01,96.31
2023-03-02,96.32
2023-03-03,96.37
2023-03-06,96.47
2023-03-07,96.43
2023-03-08,96.85
2023-03-09,97.16
2023-03-10,97.54
2023-03-13,97.8
2023-03-14,97.19
2023-03-15,97.59
2023-03-16,97.59
2023-03-17,97.59
2023-03-20,97.86
2023-03-21,97.77
2023-03-22,97.91
2023-03-23,98.5
2023-03-24,98.62
2023-03-27,98.62
2023-03-28,98.64
2023-03-29,98.76
2023-03-30,98.77
2023-03-31,98.64
2023-04-03,99.03
2023-04-04,99.05
2023-04-05,99.3
2023-04-06,99.3
2023-04-11,98.86
2023-04-12,99.0
2023-04-13,98.84
2023-04-14,98.81
2023-04-17,98.82
2023-04-18,98.88
2023-04-19,98.68
2023-04-20,98.8
2023-04-21,98.61
2023-04-24,98.66
2023-04-25,98.45
2023-04-26,98.36
2023-04-27,97.82
2023-04-28,97.89
2023-05-02,97.71
2023-05-03,97.88
2023-05-04,97.89
2023-05-05,97.98
2023-05-08,97.9
2023-05-09,97.92
2023-05-10,98.17
2023-05-11,98.37
2023-05-12,98.28
2023-05-15,98.32
2023-05-16,98.18
2023-05-17,98.03
2023-05-18,97.72
2023-05-19,97.98
2023-05-22,98.19
2023-05-23,98.42
2023-05-24,98.73
2023-05-25,98.88
2023-05-26,98.86
2023-05-29,99.03
2023-05-30,99.12
2023-05-31,99.24
2023-06-01,99.2
2023-06-02,99.26
2023-06-05,98.82
2023-06-06,98.62
2023-06-07,98.54
2023-06-08,98.64
2023-06-09,98.98
2023-06-12,99.12
2023-06-13,99.11
2023-06-14,99.01
2023-06-15,99.02
2023-06-16,99.05
2023-06-19,98.87
2023-06-20,98.99
2023-06-21,98.98
2023-06-22,98.78
2023-06-23,99.06
2023-06-26,99.18
2023-06-27,98.98
2023-06-28,98.87
2023-06-29,98.48
2023-06-30,98.39
2023-07-03,98.7
2023-07-04,98.74
2023-07-05,98.63
2023-07-06,98.4
2023-07-07,98.12
2023-07-10,98.02
2023-07-11,98.0
2023-07-12,97.93
2023-07-13,98.12
2023-07-14,98.24
2023-07-17,97.85
2023-07-18,98.3
2023-07-19,97.93
2023-07-20,97.64
2023-07-21,97.9
2023-07-24,97.9
2023-07-25,98.04
2023-07-26,97.9
2023-07-27,98.0
2023-07-28,98.09
2023-07-31,98.26
2023-08-01,98.15
2023-08-02,97.84
2023-08-03,97.73
2023-08-04,97.88
2023-08-07,97.72
2023-08-08,97.79
2023-08-09,97.8
2023-08-10,97.76
2023-08-11,97.66
2023-08-14,97.57
2023-08-16,97.4
2023-08-17,97.17
2023-08-18,97.13
2023-08-21,97.1
2023-08-22,97.31
2023-08-23,97.62
2023-08-24,97.4
2023-08-25,97.26
2023-08-28,97.39
2023-08-29,97.39
2023-08-30,97.36
2023-08-31,97.39
2023-09-01,97.02
2023-09-04,96.97
2023-09-05,96.37
2023-09-06,96.59
